Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
Eastern Mediterranean Region (WHO),,1990,0.264168169,0.663213405,0.157119749,4.747421451,0.433371942,4.441289617,0.677407031
Eastern Mediterranean Region (WHO),,1991,0.263922164,0.663861171,0.157052032,4.748134914,0.432260049,4.427335325,0.679532499
Eastern Mediterranean Region (WHO),,1992,0.263629196,0.664310293,0.156631438,4.745030393,0.431104439,4.415231865,0.681648835
Eastern Mediterranean Region (WHO),,1993,0.26339718,0.664886791,0.156330559,4.745682641,0.430840813,4.405927167,0.683435935
Eastern Mediterranean Region (WHO),,1994,0.263243256,0.665451783,0.156294741,4.74844072,0.43150413,4.398564134,0.684961245
Eastern Mediterranean Region (WHO),,1995,0.263146448,0.665948439,0.156425643,4.750675983,0.432540647,4.394394019,0.685989957
Eastern Mediterranean Region (WHO),,1996,0.263095103,0.666507796,0.156666562,4.745372039,0.435031896,4.389978004,0.68672103
Eastern Mediterranean Region (WHO),,1997,0.263077373,0.667156284,0.156992113,4.730544948,0.4391794,4.382230055,0.687608189
Eastern Mediterranean Region (WHO),,1998,0.263096089,0.667815307,0.157417549,4.713239463,0.443938317,4.373370793,0.688517617
Eastern Mediterranean Region (WHO),,1999,0.263137289,0.668432611,0.157961919,4.699535289,0.448612022,4.366022617,0.689172073
Eastern Mediterranean Region (WHO),,2000,0.263162011,0.668935004,0.158594793,4.694978755,0.451874659,4.362412011,0.68923259
Eastern Mediterranean Region (WHO),,2001,0.263147204,0.669409973,0.159489434,4.69747616,0.455158047,4.364098418,0.68856698
Eastern Mediterranean Region (WHO),,2002,0.263132515,0.670066136,0.160779173,4.701898462,0.46043162,4.367262324,0.687468872
Eastern Mediterranean Region (WHO),,2003,0.263156291,0.67083422,0.162368186,4.708023296,0.466686544,4.371079601,0.686235142
Eastern Mediterranean Region (WHO),,2004,0.263217293,0.671608176,0.164064389,4.713767709,0.472475275,4.374587851,0.685146714
Eastern Mediterranean Region (WHO),,2005,0.263312431,0.672346236,0.165667248,4.718118697,0.476796542,4.377957975,0.684411757
Eastern Mediterranean Region (WHO),,2006,0.263492452,0.673075457,0.167439856,4.735022236,0.481602941,4.37908363,0.684509752
Eastern Mediterranean Region (WHO),,2007,0.263748158,0.673838058,0.170023248,4.770464081,0.48796026,4.378723073,0.685281223
Eastern Mediterranean Region (WHO),,2008,0.26405294,0.674624587,0.172581695,4.811965459,0.495009217,4.377868534,0.686142667
Eastern Mediterranean Region (WHO),,2009,0.26435051,0.675204029,0.174971776,4.847204237,0.500860783,4.376798741,0.686680012
Eastern Mediterranean Region (WHO),,2010,0.264567377,0.675376825,0.176474886,4.864083899,0.504202727,4.375897965,0.686281062
Eastern Mediterranean Region (WHO),,2011,0.264752314,0.675316308,0.177724277,4.86987827,0.503547333,4.382548254,0.684469048
Eastern Mediterranean Region (WHO),,2012,0.264929877,0.675134007,0.179112476,4.879864371,0.499245665,4.40144461,0.681824112
Eastern Mediterranean Region (WHO),,2013,0.265086929,0.674816299,0.180150325,4.891036508,0.493471773,4.424081093,0.679196096
Eastern Mediterranean Region (WHO),,2014,0.265222531,0.674307594,0.181189145,4.898946457,0.488308871,4.443163689,0.677425097
Eastern Mediterranean Region (WHO),,2015,0.265320255,0.673665464,0.182138195,4.899238792,0.485789891,4.450353587,0.677207561
Eastern Mediterranean Region (WHO),,2016,0.265316003,0.672843934,0.183356825,4.865622924,0.490399972,4.444137003,0.681379046
Eastern Mediterranean Region (WHO),,2017,0.265311731,0.672012096,0.184235547,4.830889529,0.494698382,4.437691964,0.686556911
Eastern Mediterranean Region (WHO),,2018,0.265384797,0.671241685,0.184279999,4.83102585,0.488359204,4.443732141,0.691040207
Eastern Mediterranean Region (WHO),,2019,0.265476328,0.670388403,0.184027732,4.844259272,0.473883522,4.460301689,0.697378241
African Region (WHO),,1990,0.216351814,0.58193768,0.102982744,3.537831791,0.437110282,4.725167432,1.152445206
African Region (WHO),,1991,0.21637882,0.582026087,0.102086355,3.535734222,0.440947989,4.715682331,1.152154744
African Region (WHO),,1992,0.216393673,0.582083527,0.101290546,3.533891237,0.444273208,4.706978425,1.148381268
African Region (WHO),,1993,0.21639209,0.582136758,0.100535755,3.532413208,0.446924238,4.699633256,1.143184
African Region (WHO),,1994,0.216365212,0.582201481,0.099860188,3.531428595,0.448519222,4.69614282,1.140920893
African Region (WHO),,1995,0.216328467,0.582264864,0.099294344,3.530744375,0.449226762,4.695696415,1.140743229
African Region (WHO),,1996,0.216234794,0.582344967,0.098783627,3.529393428,0.449297126,4.707272241,1.142219468
African Region (WHO),,1997,0.216072859,0.582429836,0.098294708,3.526578154,0.449199474,4.7329999,1.142561045
African Region (WHO),,1998,0.215902376,0.582512214,0.097785941,3.523222431,0.4488489,4.762159687,1.141043702
African Region (WHO),,1999,0.215776024,0.582588355,0.097474184,3.520303798,0.448293342,4.786290529,1.138575894
African Region (WHO),,2000,0.21574818,0.582652024,0.097313316,3.518631565,0.447421903,4.795000059,1.134815573
African Region (WHO),,2001,0.215921289,0.582751073,0.09748156,3.516550045,0.446348262,4.792240327,1.129826641
African Region (WHO),,2002,0.216290004,0.582920926,0.097941612,3.512414226,0.445095208,4.787623745,1.123928446
African Region (WHO),,2003,0.216738476,0.583126478,0.098697527,3.507701184,0.443542321,4.782116529,1.117502955
African Region (WHO),,2004,0.217149863,0.583328069,0.09946992,3.503904197,0.441664125,4.776465428,1.111039138
African Region (WHO),,2005,0.217404404,0.583484904,0.100174869,3.502365684,0.439292357,4.770651619,1.105128783
African Region (WHO),,2006,0.217534998,0.583662789,0.100927307,3.507842665,0.436458565,4.75757287,1.103818833
African Region (WHO),,2007,0.21766684,0.583933081,0.101905134,3.520964146,0.433447926,4.732455792,1.108029344
African Region (WHO),,2008,0.217804873,0.584251325,0.102941501,3.537106406,0.430262158,4.700943788,1.114363113
African Region (WHO),,2009,0.217950082,0.584556262,0.103849675,3.551452529,0.426998936,4.67017742,1.119394595
African Region (WHO),,2010,0.218095659,0.584764664,0.104927955,3.558984215,0.423704796,4.645586181,1.11956093
African Region (WHO),,2011,0.218319006,0.584946026,0.105973728,3.562271008,0.419763578,4.6241069,1.116113161
African Region (WHO),,2012,0.218663171,0.585194596,0.107299576,3.566638491,0.415428194,4.600603256,1.112330367
African Region (WHO),,2013,0.219059,0.585470885,0.108713504,3.57162251,0.410993293,4.579052461,1.108187301
African Region (WHO),,2014,0.219432617,0.585727156,0.110047573,3.57695934,0.407776498,4.564337079,1.103871584
African Region (WHO),,2015,0.2197051,0.585908222,0.111245423,3.582030837,0.405949069,4.561187787,1.099623409
African Region (WHO),,2016,0.220024832,0.586116866,0.11261527,3.591446229,0.405894518,4.570860496,1.090591113
African Region (WHO),,2017,0.220353074,0.586331077,0.113737951,3.599553462,0.405894342,4.580483768,1.083979956
African Region (WHO),,2018,0.220683573,0.586468274,0.114193943,3.599095643,0.404522764,4.586242112,1.091158761
African Region (WHO),,2019,0.221159933,0.586611117,0.114479456,3.593088033,0.402543895,4.59200648,1.1095293
European Region (WHO),,1990,0.294895051,0.761839112,0.278321275,4.546621057,0.945126128,3.891713156,2.511719266
European Region (WHO),,1991,0.294746104,0.762016747,0.278241337,4.541981493,0.960128962,3.882703427,2.521924252
European Region (WHO),,1992,0.294601507,0.7621998,0.278143896,4.537184896,0.974399353,3.874815461,2.534896173
European Region (WHO),,1993,0.294493043,0.762382476,0.277940069,4.53187548,0.98729394,3.867935179,2.548408431
European Region (WHO),,1994,0.294421611,0.762720306,0.277587021,4.52629687,0.997329099,3.862828489,2.559780672
European Region (WHO),,1995,0.294372436,0.763196092,0.277165596,4.520563354,1.004392149,3.859538433,2.568348383
European Region (WHO),,1996,0.294338408,0.76369678,0.276914148,4.514251232,1.009568277,3.860022845,2.590837751
European Region (WHO),,1997,0.294324146,0.764155607,0.276890413,4.508336667,1.014892122,3.865367462,2.635034991
European Region (WHO),,1998,0.294346704,0.764628704,0.27713084,4.503811794,1.020309489,3.87172071,2.684505399
European Region (WHO),,1999,0.29442189,0.765223062,0.27789156,4.501325531,1.025342914,3.876685663,2.722262913
European Region (WHO),,2000,0.294560524,0.765919808,0.278941038,4.501768477,1.029876667,3.877053988,2.732421124
European Region (WHO),,2001,0.294762464,0.766930015,0.280766866,4.505580919,1.035521906,3.870195666,2.70563655
European Region (WHO),,2002,0.295018378,0.768303501,0.283393206,4.512555117,1.043512132,3.857708996,2.653792894
European Region (WHO),,2003,0.295313245,0.76994483,0.286400542,4.521952693,1.05229448,3.842368905,2.590744397
European Region (WHO),,2004,0.29562373,0.771621996,0.28953031,4.532947388,1.060480679,3.827163521,2.531319556
European Region (WHO),,2005,0.295927493,0.77303859,0.292198676,4.54461746,1.06625149,3.815289183,2.490042726
European Region (WHO),,2006,0.296270848,0.774199279,0.295054779,4.565154463,1.068262433,3.807994268,2.462828403
European Region (WHO),,2007,0.296689203,0.775333308,0.298474611,4.59812941,1.067268423,3.803433617,2.437665562
European Region (WHO),,2008,0.297121428,0.776533083,0.302192913,4.635022244,1.06475661,3.802094199,2.415373786
European Region (WHO),,2009,0.297521668,0.777721219,0.305610996,4.667429515,1.062128379,3.801816221,2.396922552
European Region (WHO),,2010,0.297838371,0.778856617,0.308434613,4.686653003,1.060307057,3.80148756,2.383512658
European Region (WHO),,2011,0.298241098,0.77998978,0.31097537,4.698058655,1.058032919,3.801173836,2.373170324
European Region (WHO),,2012,0.298840628,0.781109034,0.313314188,4.711247025,1.053533027,3.800197046,2.363277666
European Region (WHO),,2013,0.29948309,0.782202809,0.315682377,4.723914511,1.047975813,3.798526332,2.353310958
European Region (WHO),,2014,0.300038899,0.783276759,0.317913398,4.734149031,1.043206612,3.797766438,2.343630744
